,Gross domestic product 2016,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
,,,,,
USA,1,,United States," 18,569,100 ",
CHN,2,,China," 11,199,145 ",
JPN,3,,Japan," 4,939,384 ",
DEU,4,,Germany," 3,466,757 ",
GBR,5,,United Kingdom," 2,618,886 ",
FRA,6,,France," 2,465,454 ",
IND,7,,India," 2,263,523 ",
ITA,8,,Italy," 1,849,970 ",
BRA,9,,Brazil," 1,796,187 ",
CAN,10,,Canada," 1,529,760 ",
KOR,11,,"Korea, Rep."," 1,411,246 ",
RUS,12,,Russian Federation," 1,283,162 ",a
ESP,13,,Spain," 1,232,088 ",
AUS,14,,Australia," 1,204,616 ",
MEX,15,,Mexico," 1,045,998 ",
IDN,16,,Indonesia," 932,259 ",
TUR,17,,Turkey," 857,749 ",
NLD,18,,Netherlands," 770,845 ",
CHE,19,,Switzerland," 659,827 ",
SAU,20,,Saudi Arabia," 646,438 ",
ARG,21,,Argentina," 545,866 ",b
SWE,22,,Sweden," 511,000 ",
POL,23,,Poland," 469,509 ",
BEL,24,,Belgium," 466,366 ",
THA,25,,Thailand," 406,840 ",
NGA,26,,Nigeria," 405,083 ",
IRN,27,,"Iran, Islamic Rep."," 393,436 ",
AUT,28,,Austria," 386,428 ",
NOR,29,,Norway," 370,557 ",
ARE,30,,United Arab Emirates," 348,743 ",
EGY,31,,"Egypt, Arab Rep."," 336,297 ",
HKG,32,,"Hong Kong SAR, China"," 320,912 ",
ISR,33,,Israel," 318,744 ",
DNK,34,,Denmark," 306,143 ",
PHL,35,,Philippines," 304,905 ",
SGP,36,,Singapore," 296,966 ",
MYS,37,,Malaysia," 296,359 ",
ZAF,38,,South Africa," 294,841 ",
IRL,39,,Ireland," 294,054 ",
PAK,40,,Pakistan," 283,660 ",
COL,41,,Colombia," 282,463 ",
CHL,42,,Chile," 247,028 ",
FIN,43,,Finland," 236,785 ",
BGD,44,,Bangladesh," 221,415 ",
PRT,45,,Portugal," 204,565 ",
VNM,46,,Vietnam," 202,616 ",
GRC,47,,Greece," 194,559 ",
CZE,48,,Czech Republic," 192,925 ",
PER,49,,Peru," 192,094 ",
ROU,50,,Romania," 186,691 ",
NZL,51,,New Zealand," 185,017 ",
IRQ,52,,Iraq," 171,489 ",
DZA,53,,Algeria," 156,080 ",
QAT,54,,Qatar," 152,469 ",
KAZ,55,,Kazakhstan," 133,657 ",
HUN,56,,Hungary," 124,343 ",
KWT,57,,Kuwait," 114,041 ",
MAR,58,,Morocco," 101,445 ",c
ECU,59,,Ecuador," 97,802 ",
SDN,60,,Sudan," 95,584 ",
UKR,61,,Ukraine," 93,270 ",a
AGO,62,,Angola," 89,633 ",
SVK,63,,Slovak Republic," 89,552 ",
CUB,64,,Cuba," 87,133 ",
LKA,65,,Sri Lanka," 81,322 ",
ETH,66,,Ethiopia," 72,374 ",
DOM,67,,Dominican Republic," 71,584 ",
KEN,68,,Kenya," 70,529 ",
GTM,69,,Guatemala," 68,763 ",
MMR,70,,Myanmar," 67,430 ",
UZB,71,,Uzbekistan," 67,220 ",
OMN,72,,Oman," 66,293 ",
LUX,73,,Luxembourg," 59,948 ",
CRI,74,,Costa Rica," 57,436 ",
PAN,75,,Panama," 55,188 ",
URY,76,,Uruguay," 52,420 ",
BGR,77,,Bulgaria," 52,395 ",
HRV,78,,Croatia," 50,425 ",
LBN,79,,Lebanon," 47,537 ",
BLR,80,,Belarus," 47,433 ",
TZA,81,,Tanzania," 47,431 ",d
MAC,82,,"Macao SAR, China"," 44,803 ",
SVN,83,,Slovenia," 43,991 ",
LTU,84,,Lithuania," 42,739 ",
GHA,85,,Ghana," 42,690 ",
TUN,86,,Tunisia," 42,063 ",
JOR,87,,Jordan," 38,655 ",
AZE,88,,Azerbaijan," 37,848 ",
SRB,89,,Serbia," 37,745 ",
TKM,90,,Turkmenistan," 36,180 ",
CIV,91,,Côte d'Ivoire," 36,165 ",
COD,92,,"Congo, Dem. Rep."," 34,999 ",
BOL,93,,Bolivia," 33,806 ",
BHR,94,,Bahrain," 31,859 ",
LVA,95,,Latvia," 27,677 ",
PRY,96,,Paraguay," 27,441 ",
YEM,97,,"Yemen, Rep."," 27,318 ",
SLV,98,,El Salvador," 26,797 ",
UGA,99,,Uganda," 25,528 ",
CMR,100,,Cameroon," 24,204 ",
EST,101,,Estonia," 23,137 ",
HND,102,,Honduras," 21,517 ",
NPL,103,,Nepal," 21,144 ",
TTO,104,,Trinidad and Tobago," 20,989 ",
ISL,105,,Iceland," 20,047 ",
KHM,106,,Cambodia," 20,017 ",
CYP,107,,Cyprus," 19,802 ",e
ZMB,108,,Zambia," 19,551 ",
AFG,109,,Afghanistan," 19,469 ",
PNG,110,,Papua New Guinea," 16,929 ",
BIH,111,,Bosnia and Herzegovina," 16,560 ",
ZWE,112,,Zimbabwe," 16,289 ",
LAO,113,,Lao PDR," 15,903 ",
BWA,114,,Botswana," 15,275 ",
SEN,115,,Senegal," 14,765 ",
GEO,116,,Georgia," 14,333 ",f
GAB,117,,Gabon," 14,214 ",
MLI,118,,Mali," 14,045 ",
JAM,119,,Jamaica," 14,027 ",
PSE,120,,West Bank and Gaza," 13,397 ",
NIC,121,,Nicaragua," 13,231 ",
MUS,122,,Mauritius," 12,164 ",
BFA,123,,Burkina Faso," 12,115 ",
ALB,124,,Albania," 11,927 ",
BRN,125,,Brunei Darussalam," 11,400 ",
MNG,126,,Mongolia," 11,160 ",
MOZ,127,,Mozambique," 11,015 ",
MLT,128,,Malta," 10,949 ",
MKD,129,,"Macedonia, FYR"," 10,900 ",
ARM,130,,Armenia," 10,547 ",
NAM,131,,Namibia," 10,267 ",
